Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,15 pF,
"C10, C11, C12, C13, C14, C15, C16, C7, C9",0201,9,0.1 uF,
"C3, C4, C5, C6",0201,4,1 uF,
D1,DIOM3616X98N,1,MBR120VLSFT1G,
"DL1, DL10, DL11, DL12, DL13, DL14, DL15, DL16, DL17, DL18, DL19, DL2, DL3, DL4, DL5, DL6, DL7, DL8, DL9, DR1, DR10, DR11, DR12, DR13, DR14, DR15, DR16, DR17, DR18, DR19, DR2, DR3, DR4, DR5, DR6, DR7, DR8, DR9",Diode_SOD123,38,1N4148W,
"J1, J2",USB-C-SMD_GT-USB-7013,2,USB_C_Receptacle,
J3,AMPHENOL_10118192-0001LF,1,10118192-0001LF,
"R1, R8",0201,2,1k,
"R3, R6, R7",0201,3,10k,
"R4, R5",0201,2,27,
S1,PTS810SJG250SMTRLFS,1,PTS810SJK250SMTRLFS,
"SWL1, SWL10, SWL11, SWL12, SWL13, SWL14, SWL15, SWL16, SWL17, SWL18, SWL19, SWL2, SWL3, SWL4, SWL5, SWL6, SWL7, SWL8, SWL9, SWR1, SWR10, SWR11, SWR12, SWR13, SWR14, SWR15, SWR16, SWR17, SWR18, SWR19, SWR2, SWR3, SWR4, SWR5, SWR6, SWR7, SWR8, SWR9",Kailh_socket_PG1350_reverse,38,CPG135001S30,
U1,SOT-23-5,1,AP2112K-3.3,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,SOIC127P790X216-8N,1,W25Q16JVSSIQ,
Y1,NX3225SA,1,~,
